co_categoria_subcategoria,co_agrupamento,co_categoria_pai,no_categoria_subcategoria,st_cruz,st_asterisco,co_categ_subcateg_sp,st_registro_ativo,dt_inclusao,dt_atualizacao
O98.7,167,O98,"Doenca causada pelo virus da imunodeficiencia humana [HIV] complicando a gravidez, o parto e o puerperio",-,-,O987,S,02/06/2021 18:32,-
O98.8,167,O98,"Outras doencas infecciosas e parasitarias maternas complicando a gravidez, o parto e o puerperio",-,-,O988,S,-,-
O98.9,167,O98,"Doencas infecciosas e parasitarias maternas, nao especificadas, complicando a gravidez, o parto e o puerperio",-,-,O989,S,-,-
O99,167,O99,"Outras doencas da mae, classificadas em outra parte, mas que complicam a gravidez o parto e o puerperio",-,-,O99,S,-,-
O99.0,167,O99,"Anemia complicando a gravidez, o parto e o puerperio",-,-,O990,S,-,-
O99.1,167,O99,"Outras doencas do sangue e dos orgaos hematopoeticos e alguns transtornos que comprometem o sistema imunologico, complicando a gravidez, o parto e o puerperio",-,-,O991,S,-,-
O99.2,167,O99,"Doencas endocrinas, nutricionais e metabolicas complicando a gravidez, o parto e o puerperio",-,-,O992,S,-,-
O99.3,167,O99,"Transtornos mentais e doencas do sistema nervoso complicando a gravidez, o parto e o puerperio",-,-,O993,S,-,-
O99.4,167,O99,"Doencas do aparelho circulatorio complicando a gravidez, o parto e o puerperio",-,-,O994,S,-,-
O99.5,167,O99,"Doencas do aparelho respiratorio complicando a gravidez, o parto e o puerperio",-,-,O995,S,-,-
O99.6,167,O99,"Doencas do aparelho digestivo complicando a gravidez, o parto e o puerperio",-,-,O996,S,-,-
O99.7,167,O99,"Doencas da pele e do tecido subcutaneo complicando a gravidez, o parto e o puerperio",-,-,O997,S,-,-
O99.8,167,O99,"Outras doencas e afeccoes especificadas complicando a gravidez, o parto e o puerperio",-,-,O998,S,-,-
P00,168,P00,"Feto e recem-nascido afetados por afeccoes maternas, nao obrigatoriamente relacionadas com a gravidez atual",-,-,P00,S,-,-
P00.0,168,P00,Feto e recem-nascido afetados por transtornos maternos hipertensivos,-,-,P000,S,-,-
P00.1,168,P00,Feto e recem-nascido afetados por doencas maternas renais e das vias urinarias,-,-,P001,S,-,-
P00.2,168,P00,Feto e recem-nascido afetados por doencas infecciosas e parasitarias da mae,-,-,P002,S,-,-
P00.3,168,P00,Feto e recem-nascido afetados por outras doencas circulatorias e respiratorias maternas,-,-,P003,S,-,-
P00.4,168,P00,Feto e recem-nascido afetados por transtornos nutricionais maternos,-,-,P004,S,-,-
P00.5,168,P00,Feto e recem-nascido afetados por traumatismo materno,-,-,P005,S,-,-
P00.6,168,P00,Feto e recem-nascido afetados por intervencao cirurgica na mae,-,-,P006,S,-,-
P00.7,168,P00,"Feto e recem-nascido afetados por outros procedimentos medicos na mae, nao classificados em outra parte",-,-,P007,S,-,-
P00.8,168,P00,Feto e recem-nascido afetados por outras afeccoes maternas,-,-,P008,S,-,-
P00.9,168,P00,Feto e recem-nascido afetados por afeccao materna nao especificada,-,-,P009,S,-,-
P01,168,P01,Feto e recem-nascido afetados por complicacoes maternas da gravidez,-,-,P01,S,-,-
P01.0,168,P01,Feto e recem-nascido afetados por incompetencia do colo uterino,-,-,P010,S,-,-
P01.1,168,P01,Feto e recem-nascido afetados por ruptura prematura das membranas,-,-,P011,S,-,-
P01.2,168,P01,Feto e recem-nascido afetados por oligohidramnio,-,-,P012,S,-,-
P01.3,168,P01,Feto e recem-nascido afetados por polihidramnio,-,-,P013,S,-,-
P01.4,168,P01,Feto e recem-nascido afetados por gravidez ectopica,-,-,P014,S,-,-
P01.5,168,P01,Feto e recem-nascido afetados por gravidez multipla,-,-,P015,S,-,-
P01.6,168,P01,Feto e recem-nascido afetados por morte materna,-,-,P016,S,-,-
P01.7,168,P01,Feto e recem-nascido afetados por apresentacao anormal antes do trabalho de parto,-,-,P017,S,-,-
P01.8,168,P01,Feto e recem-nascido afetados por outras complicacoes maternas da gravidez,-,-,P018,S,-,-
P01.9,168,P01,"Feto e recem-nascido afetados por afeccoes maternas da gravidez, nao especificadas",-,-,P019,S,-,-
P02,168,P02,"Feto e recem-nascido afetados por complicacoes da placenta, do cordao umbilical e das membranas",-,-,P02,S,-,-
P02.0,168,P02,Feto e recem-nascido afetados por placenta previa,-,-,P020,S,-,-
P02.1,168,P02,Feto e recem-nascido afetados por outras formas de descolamento da placenta e hemorragia,-,-,P021,S,-,-
P02.2,168,P02,Feto e recem-nascido afetados por outras anormalidades morfologicas e funcionais da placenta e as nao especificadas,-,-,P022,S,-,-
P02.3,168,P02,Feto e recem-nascido afetados por sindromes de transfusao placentaria,-,-,P023,S,-,-
P02.4,168,P02,Feto e recem-nascido afetados por prolapso de cordao umbilical,-,-,P024,S,-,-
P02.5,168,P02,Feto e recem-nascido afetados por outras compressoes do cordao umbilical,-,-,P025,S,-,-
P02.6,168,P02,Feto e recem-nascido afetados por outras afeccoes do cordao umbilical e as nao especificadas,-,-,P026,S,-,-
P02.7,168,P02,Feto e recem-nascido afetados por corioamnionite,-,-,P027,S,-,-
P02.8,168,P02,Feto e recem-nascido afetados por outras anormalidades das membranas,-,-,P028,S,-,-
P02.9,168,P02,Feto e recem-nascido afetados por anormalidade nao especificada das membranas,-,-,P029,S,-,-
P03,168,P03,Feto e recem-nascido afetados por outras complicacoes do trabalho de parto e do parto,-,-,P03,S,-,-
P03.0,168,P03,Feto e recem-nascido afetados por parto e extracao pelvicas,-,-,P030,S,-,-
P03.1,168,P03,"Feto e recem-nascido afetados por outras apresentacoes anormais, ma-posicoes e desproporcoes durante o trabalho de parto e o parto",-,-,P031,S,-,-
P03.2,168,P03,Feto e recem-nascido afetados por parto por forceps,-,-,P032,S,-,-
P03.3,168,P03,Feto e recem-nascido afetados por parto por vacuo-extrator [ventosa],-,-,P033,S,-,-
P03.4,168,P03,Feto e recem-nascido afetados por parto por cesariana,-,-,P034,S,-,-
P03.5,168,P03,Feto e recem-nascido afetados por parto precipitado,-,-,P035,S,-,-
P03.6,168,P03,Feto e recem-nascido afetados por contracoes uterinas anormais,-,-,P036,S,-,-
P03.8,168,P03,Feto e recem-nascido afetados por outras complicacoes especificadas do trabalho de parto e do parto,-,-,P038,S,-,-
P03.9,168,P03,Feto e recem-nascido afetados por complicacoes nao especificadas do trabalho de parto e do parto,-,-,P039,S,-,-
P04,168,P04,Feto e recem-nascido afetados por influencias nocivas transmitidas ao feto via placenta ou leite materno,-,-,P04,S,-,-
P04.0,168,P04,"Feto e recem-nascido afetados por anestesia e analgesia materna durante a gravidez, trabalho de parto e parto",-,-,P040,S,-,-
P04.1,168,P04,Feto e recem-nascido afetados por outros medicamentos utilizados pela mae,-,-,P041,S,-,-
P04.2,168,P04,Feto e recem-nascido afetados pelo uso de fumo pela mae,-,-,P042,S,-,-
P04.3,168,P04,Feto e recem-nascido afetados pelo uso de alcool pela mae,-,-,P043,S,-,-
P04.4,168,P04,Feto e recem-nascido afetados pelo uso de drogas que causam dependencia pela mae,-,-,P044,S,-,-
P04.5,168,P04,Feto e recem-nascido afetados por uso materno de substancias quimicas dos alimentos,-,-,P045,S,-,-
P04.6,168,P04,Feto e recem-nascido afetados pela exposicao da mae a substancias quimicas do meio ambiente,-,-,P046,S,-,-
P04.8,168,P04,Feto e recem-nascido afetados por outras influencias nocivas maternas,-,-,P048,S,-,-
P04.9,168,P04,Feto e recem-nascido afetados por influencias nocivas maternas nao especificadas,-,-,P049,S,-,-
P05,169,P05,Crescimento fetal retardado e desnutricao fetal,-,-,P05,S,-,-
P05.0,169,P05,Recem-nascido de baixo peso para a idade gestacional,-,-,P050,S,-,-
P05.1,169,P05,Pequeno para a idade gestacional,-,-,P051,S,-,-
P05.2,169,P05,Desnutricao fetal sem mencao de peso e comprimento baixos para a idade gestacional,-,-,P052,S,-,-
P05.9,169,P05,Retardo nao especificado do crescimento fetal,-,-,P059,S,-,-
P07,169,P07,Transtornos relacionados com a gestacao de curta duracao e peso baixo ao nascer nao classificados em outra parte,-,-,P07,S,-,-
P07.0,169,P07,Recem-nascido com peso muito baixo,-,-,P070,S,-,-
P07.1,169,P07,Outros recem-nascidos de peso baixo,-,-,P071,S,-,-
P07.2,169,P07,Imaturidade extrema,-,-,P072,S,-,-
P07.3,169,P07,Outros recem-nascidos de pre-termo,-,-,P073,S,-,-
P08,169,P08,Transtornos relacionados com a gestacao prolongada e peso elevado ao nascer,-,-,P08,S,-,-
P08.0,169,P08,Recem-nascido de tamanho excessivamente grande,-,-,P080,S,-,-
P08.1,169,P08,Outros recem-nascidos grandes para a idade gestacional,-,-,P081,S,-,-
P08.2,169,P08,"Recem-nascido pos-termo, nao-grande para a idade gestacional",-,-,P082,S,-,-
P10,170,P10,Laceracao intracraniana e hemorragia devidas a traumatismo de parto,-,-,P10,S,-,-
P10.0,170,P10,Hemorragia subdural devida a traumatismo de parto,-,-,P100,S,-,-
P10.1,170,P10,Hemorragia cerebral devida a traumatismo de parto,-,-,P101,S,-,-
P10.2,170,P10,Hemorragia intraventricular devida a traumatismo de parto,-,-,P102,S,-,-
P10.3,170,P10,Hemorragia subaracnoidea devida a traumatismo de parto,-,-,P103,S,-,-
P10.4,170,P10,Ruptura tentorial devida a traumatismo de parto,-,-,P104,S,-,-
P10.8,170,P10,Outras laceracoes e hemorragias intracranianas devidas a traumatismo de parto,-,-,P108,S,-,-
P10.9,170,P10,Laceracao e hemorragia intracranianas nao especificadas devidas a traumatismo de parto,-,-,P109,S,-,-
P11,170,P11,Outros traumatismos de parto do sistema nervoso central,-,-,P11,S,-,-
P11.0,170,P11,Edema cerebral devido a traumatismo de parto,-,-,P110,S,-,-
P11.1,170,P11,Outras lesoes cerebrais especificadas devidas a traumatismo de parto,-,-,P111,S,-,-
P11.2,170,P11,Lesao cerebral nao especificada devida a traumatismo de parto,-,-,P112,S,-,-
P11.3,170,P11,Traumatismo de parto do nervo facial,-,-,P113,S,-,-
P11.4,170,P11,Traumatismo de parto de outros nervos cranianos,-,-,P114,S,-,-
P11.5,170,P11,Traumatismo de parto da coluna e da medula espinhal,-,-,P115,S,-,-
P11.9,170,P11,Traumatismo de parto nao especificado do sistema nervoso central,-,-,P119,S,-,-
P12,170,P12,Lesao do couro cabeludo devida a traumatismo de parto,-,-,P12,S,-,-
P12.0,170,P12,Cefalo-hematoma devido a traumatismo de parto,-,-,P120,S,-,-
P12.1,170,P12,"""Chignon"" devido a traumatismo de parto",-,-,P121,S,-,-
P12.2,170,P12,Hemorragia subaponeurotica epicraniana devida a traumatismo de parto,-,-,P122,S,-,-
P12.3,170,P12,Esmagamento do couro cabeludo devido a traumatismo de parto,-,-,P123,S,-,-
P12.4,170,P12,Lesao por monitorizacao do couro cabeludo do recem-nascido,-,-,P124,S,-,-
P12.8,170,P12,Outras lesoes do couro cabeludo devidas a traumatismo de parto,-,-,P128,S,-,-
P12.9,170,P12,Lesao nao especificada do couro cabeludo devida a traumatismo de parto,-,-,P129,S,-,-
P13,170,P13,Lesoes do esqueleto devidas a traumatismo de parto,-,-,P13,S,-,-
P13.0,170,P13,Fratura de cranio devida a traumatismo de parto,-,-,P130,S,-,-
P13.1,170,P13,Outras lesoes cranianas devidas a traumatismo de parto,-,-,P131,S,-,-
P13.2,170,P13,Lesao do femur devida a traumatismo de parto,-,-,P132,S,-,-
P13.3,170,P13,Lesao de outros ossos longos devida a traumatismo de parto,-,-,P133,S,-,-
P13.4,170,P13,Fratura da clavicula devida a traumatismo de parto,-,-,P134,S,-,-
P13.8,170,P13,Lesoes de outras partes do esqueleto devidas a traumatismo de parto,-,-,P138,S,-,-
P13.9,170,P13,Lesoes nao especificadas do esqueleto devidas a traumatismo de parto,-,-,P139,S,-,-
P14,170,P14,Lesoes ao nascer do sistema nervoso periferico,-,-,P14,S,-,-
P14.0,170,P14,Paralisia de Erb devida a traumatismo de parto,-,-,P140,S,-,-
P14.1,170,P14,Paralisia de Klumpke devida a traumatismo de parto,-,-,P141,S,-,-
P14.2,170,P14,Paralisia do nervo frenico devida a traumatismo de parto,-,-,P142,S,-,-
P14.3,170,P14,Outras lesoes do plexo braquial devidas a traumatismo de parto,-,-,P143,S,-,-
P14.8,170,P14,Outras lesoes de outras partes do sistema nervoso periferico devidas a traumatismo de parto,-,-,P148,S,-,-
P14.9,170,P14,Lesao nao especificada do sistema nervoso periferico devida a traumatismo de parto,-,-,P149,S,-,-
P15,170,P15,Outros traumatismos de parto,-,-,P15,S,-,-
P15.0,170,P15,Lesao do figado devida a traumatismo de parto,-,-,P150,S,-,-
P15.1,170,P15,Lesao do baco devida a traumatismo de parto,-,-,P151,S,-,-
P15.2,170,P15,Lesao do esternomastoide devida a traumatismo de parto,-,-,P152,S,-,-
P15.3,170,P15,Lesao dos olhos devida a traumatismo de parto,-,-,P153,S,-,-
P15.4,170,P15,Lesao da face ao nascer,-,-,P154,S,-,-
P15.5,170,P15,"Lesao dos orgaos genitais externos, devida a traumatismo de parto",-,-,P155,S,-,-
P15.6,170,P15,Necrose de gordura subcutanea devida a traumatismo de parto,-,-,P156,S,-,-
P15.8,170,P15,Outros traumatismos de parto especificados,-,-,P158,S,-,-
P15.9,170,P15,Traumatismo de parto nao especificado,-,-,P159,S,-,-
P20,171,P20,Hipoxia intra-uterina,-,-,P20,S,-,-
P20.0,171,P20,Hipoxia intra-uterina diagnosticada antes do inicio do trabalho de parto,-,-,P200,S,-,-
P20.1,171,P20,Hipoxia intra-uterina diagnosticada durante o trabalho de parto e o parto,-,-,P201,S,-,-
P20.9,171,P20,Hipoxia intra-uterina nao especificada,-,-,P209,S,-,-
P21,171,P21,Asfixia ao nascer,-,-,P21,S,-,-
P21.0,171,P21,Asfixia grave ao nascer,-,-,P210,S,-,-
P21.1,171,P21,Asfixia leve ou moderada ao nascer,-,-,P211,S,-,-
P21.9,171,P21,"Asfixia ao nascer, nao especificada",-,-,P219,S,-,-
P22,171,P22,Desconforto (angustia) respiratorio(a) do recem-nascido,-,-,P22,S,-,-
P22.0,171,P22,Sindrome da angustia respiratoria do recem-nascido,-,-,P220,S,-,-
P22.1,171,P22,Taquipneia transitoria do recem-nascido,-,-,P221,S,-,-
P22.8,171,P22,Outros desconfortos respiratorios do recem-nascido,-,-,P228,S,-,-
P22.9,171,P22,Desconforto respiratorio nao especificado do recem-nascido,-,-,P229,S,-,-
P23,171,P23,Pneumonia congenita,-,-,P23,S,-,-
P23.0,171,P23,Pneumonia congenita devida a agente viral,-,-,P230,S,-,-
P23.1,171,P23,Pneumonia congenita devida a Clamidia,-,-,P231,S,-,-
P23.2,171,P23,Pneumonia congenita devida a estafilococo,-,-,P232,S,-,-
P23.3,171,P23,Pneumonia congenita devida a estreptococo do grupo B,-,-,P233,S,-,-
P23.4,171,P23,Pneumonia congenita devida a Escherichia coli,-,-,P234,S,-,-
P23.5,171,P23,Pneumonia congenita devida a Pseudomonas,-,-,P235,S,-,-
P23.6,171,P23,Pneumonia congenita devida a outros agentes bacterianos,-,-,P236,S,-,-
P23.8,171,P23,Pneumonia congenita devida a outros organismos,-,-,P238,S,-,-
P23.9,171,P23,Pneumonia congenita nao especificada,-,-,P239,S,-,-
P24,171,P24,Sindrome de aspiracao neonatal,-,-,P24,S,-,-
P24.0,171,P24,Aspiracao neonatal de meconio,-,-,P240,S,-,-
P24.1,171,P24,Aspiracao neonatal de liquido amniotico e muco,-,-,P241,S,-,-
P24.2,171,P24,Aspiracao neonatal de sangue,-,-,P242,S,-,-
P24.3,171,P24,Aspiracao neonatal de leite e alimento regurgitados,-,-,P243,S,-,-
P24.8,171,P24,Outras sindromes de aspiracao neonatais,-,-,P248,S,-,-
P24.9,171,P24,Sindrome de aspiracao neonatal nao especificada,-,-,P249,S,-,-
P25,171,P25,Enfisema intersticial e afeccoes correlatas originadas no periodo perinatal,-,-,P25,S,-,-
P25.0,171,P25,Enfisema intersticial originado no periodo perinatal,-,-,P250,S,-,-
P25.1,171,P25,Pneumotorax originado no periodo perinatal,-,-,P251,S,-,-
P25.2,171,P25,Pneumomediastino originado no periodo perinatal,-,-,P252,S,-,-
P25.3,171,P25,Pneumopericardio originado no periodo perinatal,-,-,P253,S,-,-
P25.8,171,P25,Outras afeccoes relacionadas com o enfisema intersticial originadas no periodo perinatal,-,-,P258,S,-,-
P26,171,P26,Hemorragia pulmonar originada no periodo perinatal,-,-,P26,S,-,-
P26.0,171,P26,Hemorragia traqueobronquica originada no periodo perinatal,-,-,P260,S,-,-
P26.1,171,P26,Hemorragia pulmonar macica originada no periodo perinatal,-,-,P261,S,-,-
P26.8,171,P26,Outras hemorragias pulmonares originadas no periodo perinatal,-,-,P268,S,-,-
P26.9,171,P26,Hemorragia pulmonar nao especificada originada no periodo perinatal,-,-,P269,S,-,-
P27,171,P27,Doenca respiratoria cronica originada no periodo perinatal,-,-,P27,S,-,-
P27.0,171,P27,Sindrome de Wilson-Mikity,-,-,P270,S,-,-
P27.1,171,P27,Displasia broncopulmonar originada no periodo perinatal,-,-,P271,S,-,-
P27.8,171,P27,Outras doencas respiratorias cronicas originadas no periodo perinatal,-,-,P278,S,-,-
P27.9,171,P27,Doenca respiratoria cronica nao especificada originada no periodo perinatal,-,-,P279,S,-,-
P28,171,P28,Outras afeccoes respiratorias originadas no periodo perinatal,-,-,P28,S,-,-
P28.0,171,P28,Atelectasia primaria do recem-nascido,-,-,P280,S,-,-
P28.1,171,P28,Outras atelectasias do recem-nascido e as nao especificadas,-,-,P281,S,-,-
P28.2,171,P28,Crises cianoticas do recem-nascido,-,-,P282,S,-,-
P28.3,171,P28,Apneia primaria do sono do recem-nascido,-,-,P283,S,-,-
P28.4,171,P28,Outras apneias do recem-nascido,-,-,P284,S,-,-
P28.5,171,P28,Insuficiencia respiratoria do recem-nascido,-,-,P285,S,-,-
P28.8,171,P28,Outras afeccoes respiratorias especificadas do recem-nascido,-,-,P288,S,-,-
P28.9,171,P28,"Afeccao respiratoria do recem-nascido, nao especificada",-,-,P289,S,-,-
P29,171,P29,Transtornos cardiovasculares originados no periodo perinatal,-,-,P29,S,-,-
P29.0,171,P29,Insuficiencia cardiaca neonatal,-,-,P290,S,-,-
P29.1,171,P29,Disritmia cardiaca neonatal,-,-,P291,S,-,-
P29.2,171,P29,Hipertensao neonatal,-,-,P292,S,-,-
P29.3,171,P29,Persistencia da circulacao fetal,-,-,P293,S,-,-
P29.4,171,P29,Isquemia miocardica transitoria do recem-nascido,-,-,P294,S,-,-
P29.8,171,P29,Outros transtornos cardiovasculares originados no periodo perinatal,-,-,P298,S,-,-
P29.9,171,P29,Transtornos cardiovasculares nao especificados originados no periodo perinatal,-,-,P299,S,-,-
P35,172,P35,Doencas virais congenitas,-,-,P35,S,-,-
P35.0,172,P35,Sindrome da rubeola congenita,-,-,P350,S,-,-
P35.1,172,P35,Infeccao congenita por citomegalovirus,-,-,P351,S,-,-
P35.2,172,P35,Infeccao congenita por virus do herpes [simples],-,-,P352,S,-,-
P35.3,172,P35,Hepatite viral congenita,-,-,P353,S,-,-
P35.4,172,P35,Doen鏰 congenita pelo Zika virus,-,-,P354,S,02/06/2021 18:32,-
P35.8,172,P35,Outras doencas virais congenitas,-,-,P358,S,-,-
P35.9,172,P35,Doenca viral congenita nao especificada,-,-,P359,S,-,-
P36,172,P36,Septicemia bacteriana do recem-nascido,-,-,P36,S,-,-
P36.0,172,P36,Septicemia do recem-nascido devida a estreptococo do grupo B,-,-,P360,S,-,-
P36.1,172,P36,Septicemia do recem-nascido devida a outros estreptococos e aos nao especificados,-,-,P361,S,-,-
P36.2,172,P36,Septicemia do recem-nascido devida ao Stafilococcus aureus,-,-,P362,S,-,-
P36.3,172,P36,Septicemia do recem-nascido devida a outros estafilococos e aos nao especificados,-,-,P363,S,-,-
P36.4,172,P36,Septicemia do recem-nascido devida a Escherichia coli,-,-,P364,S,-,-
P36.5,172,P36,Septicemia do recem-nascido devida a anaerobios,-,-,P365,S,-,-
P36.8,172,P36,Outras septicemias bacterianas do recem-nascido,-,-,P368,S,-,-
P36.9,172,P36,Septicemia bacteriana nao especificada do recem-nascido,-,-,P369,S,-,-
P37,172,P37,Outras doencas infecciosas e parasitarias congenitas,-,-,P37,S,-,-
P37.0,172,P37,Tuberculose congenita,-,-,P370,S,-,-
P37.1,172,P37,Toxoplasmose congenita,-,-,P371,S,-,-
P37.2,172,P37,Listeriose neonatal (disseminada),-,-,P372,S,-,-
P37.3,172,P37,Malaria falciparum congenita,-,-,P373,S,-,-
P37.4,172,P37,Outras malarias congenitas,-,-,P374,S,-,-
P37.5,172,P37,Candidiase neonatal,-,-,P375,S,-,-
P37.8,172,P37,Outras doencas infecciosas e parasitarias congenitas especificadas,-,-,P378,S,-,-
P37.9,172,P37,Doenca infecciosa ou parasitaria congenita nao especificada,-,-,P379,S,-,-
P38,172,P38,Onfalite do recem-nascido com ou sem hemorragia leve,-,-,P38,S,-,-
P39,172,P39,Outras infeccoes especificas do periodo perinatal,-,-,P39,S,-,-
P39.0,172,P39,Mastite infecciosa neonatal,-,-,P390,S,-,-
P39.1,172,P39,Conjuntivite e dacriocistite neonatais,-,-,P391,S,-,-
P39.2,172,P39,Infeccao intra-amniotica do feto nao classificada em outra parte,-,-,P392,S,-,-
P39.3,172,P39,Infeccao neonatal do trato urinario,-,-,P393,S,-,-
P39.4,172,P39,Infeccao neonatal da pele,-,-,P394,S,-,-
P39.8,172,P39,Outras infeccoes especificadas proprias do periodo perinatal,-,-,P398,S,-,-
P39.9,172,P39,Infeccao propria do periodo perinatal nao especificada,-,-,P399,S,-,-
P50,173,P50,Perda sanguinea fetal,-,-,P50,S,-,-
P50.0,173,P50,Perda sanguinea fetal devida a vasa previa,-,-,P500,S,-,-
P50.1,173,P50,Perda sanguinea fetal por ruptura do cordao,-,-,P501,S,-,-
P50.2,173,P50,Perda sanguinea fetal originada da placenta,-,-,P502,S,-,-
P50.3,173,P50,Hemorragia para a circulacao do outro gemeo,-,-,P503,S,-,-
P50.4,173,P50,Hemorragia para a circulacao materna,-,-,P504,S,-,-
P50.5,173,P50,Perda sanguinea devido a seccao do cordao umbilical do outro gemelar,-,-,P505,S,-,-
P50.8,173,P50,Outras perdas sanguineas fetais,-,-,P508,S,-,-
P50.9,173,P50,Perda sanguinea fetal nao especificada,-,-,P509,S,-,-
P51,173,P51,Hemorragia umbilical do recem-nascido,-,-,P51,S,-,-
P51.0,173,P51,Hemorragia umbilical macica do recem-nascido,-,-,P510,S,-,-
P51.8,173,P51,Outras hemorragias umbilicais do recem-nascido,-,-,P518,S,-,-
P51.9,173,P51,"Hemorragia umbilical do recem-nascido, nao especificada",-,-,P519,S,-,-
P52,173,P52,Hemorragia intracraniana nao-traumatica do feto e do recem-nascido,-,-,P52,S,-,-
P52.0,173,P52,"Hemorragia intraventricular (nao-traumatica) grau 1, do feto e do recem-nascido",-,-,P520,S,-,-
P52.1,173,P52,"Hemorragia intraventricular (nao-traumatica) grau 2, do feto e do recem-nascido",-,-,P521,S,-,-
P52.2,173,P52,"Hemorragia intraventricular (nao traumatica), grau 3 e grau 4, do feto e do recem-nascido",-,-,P522,S,-,-
P52.3,173,P52,"Hemorragia intraventricular (nao-traumatica) nao especificada, do feto ou do recem-nascido",-,-,P523,S,-,-
P52.4,173,P52,Hemorragia intracerebral (nao-traumatica) do feto e do recem-nascido,-,-,P524,S,-,-
P52.5,173,P52,Hemorragia subaracnoidea (nao-traumatica) do feto e do recem-nascido,-,-,P525,S,-,-
P52.6,173,P52,Hemorragia cerebelar (nao-traumatica) e da fossa posterior do feto ou recem-nascido,-,-,P526,S,-,-
P52.8,173,P52,Outras hemorragias intracranianas (nao-traumaticas) do feto e do recem-nascido,-,-,P528,S,-,-
P52.9,173,P52,"Hemorragia intracraniana (nao-traumatica) do feto e do recem-nascido, nao especificada",-,-,P529,S,-,-
P53,173,P53,Doenca hemorragica do feto e do recem-nascido,-,-,P53,S,-,-
P54,173,P54,Outras hemorragias neonatais,-,-,P54,S,-,-
P54.0,173,P54,Hematemese neonatal,-,-,P540,S,-,-
P54.1,173,P54,Melena neonatal,-,-,P541,S,-,-
P54.2,173,P54,Hemorragia retal neonatal,-,-,P542,S,-,-
P54.3,173,P54,Outras hemorragias gastrointestinais do periodo neonatal,-,-,P543,S,-,-
P54.4,173,P54,Hemorragia supra-renal neonatal,-,-,P544,S,-,-
P54.5,173,P54,Hemorragia cutanea neonatal,-,-,P545,S,-,-
P54.6,173,P54,Hemorragia vaginal neonatal,-,-,P546,S,-,-
P54.8,173,P54,Outras hemorragias fetais e neonatais especificadas,-,-,P548,S,-,-
P54.9,173,P54,Hemorragia fetal e neonatal nao especificada,-,-,P549,S,-,-
P55,173,P55,Doenca hemolitica do feto e do recem-nascido,-,-,P55,S,-,-
P55.0,173,P55,Isoimunizacao Rh do feto e do recem-nascido,-,-,P550,S,-,-
P55.1,173,P55,Isoimunizacao ABO do feto e do recem-nascido,-,-,P551,S,-,-
P55.8,173,P55,Outras doencas hemoliticas do feto e do recem-nascido,-,-,P558,S,-,-
P55.9,173,P55,Doenca hemolitica nao especificada do feto e do recem-nascido,-,-,P559,S,-,-
P56,173,P56,Hidropsia fetal devida a doenca hemolitica,-,-,P56,S,-,-
P56.0,173,P56,Hidropsia fetal devida a isoimunizacao,-,-,P560,S,-,-
P56.9,173,P56,Hidropsia fetal devida a outras doencas hemoliticas e as nao especificadas,-,-,P569,S,-,-
P57,173,P57,Kernicterus,-,-,P57,S,-,-
P57.0,173,P57,Kernicterus devido a isoimunizacao,-,-,P570,S,-,-
P57.8,173,P57,Outros kernicterus especificados,-,-,P578,S,-,-
P57.9,173,P57,Kernicterus nao especificado,-,-,P579,S,-,-
P58,173,P58,Ictericia neonatal devida a outras hemolises excessivas,-,-,P58,S,-,-
P58.0,173,P58,Ictericia neonatal devida a contusoes,-,-,P580,S,-,-
P58.1,173,P58,Ictericia neonatal devida a sangramento,-,-,P581,S,-,-
P58.2,173,P58,Ictericia neonatal devida a infeccao,-,-,P582,S,-,-
P58.3,173,P58,Ictericia neonatal devida a policitemia,-,-,P583,S,-,-
P58.4,173,P58,Ictericia neonatal devida a drogas ou toxinas transmitidas pela mae ou administradas ao recem-nascido,-,-,P584,S,-,-
P58.5,173,P58,Ictericia neonatal devida a deglutacao de sangue materno,-,-,P585,S,-,-
P58.8,173,P58,Ictericia neonatal devida a outras hemolises excessivas especificadas,-,-,P588,S,-,-
P58.9,173,P58,Ictericia neonatal devida a hemolise excessiva nao especificada,-,-,P589,S,-,-
P59,173,P59,Ictericia neonatal devida a outras causas e as nao especificadas,-,-,P59,S,-,-
P59.0,173,P59,Ictericia neonatal associada ao parto prematuro,-,-,P590,S,-,-
P59.1,173,P59,Sindrome da bile espessa,-,-,P591,S,-,-
P59.2,173,P59,Ictericia neonatal de outras lesoes hepatocelulares e das nao especificadas,-,-,P592,S,-,-
P59.3,173,P59,Ictericia neonatal devida a inibidores do leite materno,-,-,P593,S,-,-
P59.8,173,P59,Ictericia neonatal devida a outras causas especificadas,-,-,P598,S,-,-
P59.9,173,P59,Ictericia neonatal nao especificada,-,-,P599,S,-,-
P60,173,P60,Coagulacao intravascular disseminada do feto e do recem-nascido,-,-,P60,S,-,-
P61,173,P61,Outros transtornos hematologicos perinatais,-,-,P61,S,-,-
P61.0,173,P61,Trombocitopenia transitoria neonatal,-,-,P610,S,-,-
P61.1,173,P61,Policitemia neonatal,-,-,P611,S,-,-
P61.2,173,P61,Anemia da prematuridade,-,-,P612,S,-,-
P61.3,173,P61,Anemia congenita por perda sanguinea fetal,-,-,P613,S,-,-
P61.4,173,P61,Outras anemias congenitas nao classificada em outra parte,-,-,P614,S,-,-
P61.5,173,P61,Neutropenia transitoria neonatal,-,-,P615,S,-,-
P61.6,173,P61,Outros transtornos transitorios de coagulacao do periodo neonatal,-,-,P616,S,-,-
